Region,Latitude,Longitude,Climate_Zone,Avg_Temp_Min,Avg_Temp_Max,Annual_Rainfall,Frost_Free_Start,Frost_Free_End,Growing_Season_Length,Soil_Temp,Humidity,Weather_Pattern
Hanoi,21.0285,105.8542,Subtropical,15,32,1680,60,330,200,18,80,Wet summer dry winter
Ho Chi Minh,10.8231,106.6297,Tropical,22,35,1800,1,365,365,25,75,Two distinct seasons
Da Nang,16.0544,108.2022,Tropical,20,34,2000,1,365,300,22,78,Monsoon climate
Can Tho,10.0452,105.7469,Tropical,24,33,1600,1,365,365,26,82,Mekong Delta climate
Hai Phong,20.8449,106.6881,Subtropical,14,30,1500,70,320,180,16,85,Coastal climate
Hue,16.4637,107.5909,Subtropical,19,32,2500,45,350,220,20,84,High rainfall
Nha Trang,12.2388,109.1967,Tropical,23,32,1000,1,365,365,25,70,Dry climate
Da Lat,11.9404,108.4583,Temperate,12,25,1500,1,365,365,15,75,Highland climate
Cao Bang,22.6663,106.2527,Subtropical,10,28,1400,90,300,150,12,80,Mountainous climate
An Giang,10.3888,105.4343,Tropical,24,34,1300,1,365,365,26,78,Mekong Delta