LAT	LON	YEAR	DOY	AOD_55	AOD_84	AIRMASS	ALLSKY_KT	CLRSKY_DAYS	CLRSKY_KT	CLRSKY_SRF_ALB	CLOUD_AMT	CLOUD_AMT_DAY	CLOUD_AMT_NIGHT	CLOUD_OD	CDD0	CDD10	CDD18_3	TS	TS_MAX	TS_MIN	U10M	HDD0	HDD10	V10M	PW	PRECTOTCORR	RH2M	QV10M	RHOA	PS	Z0M	T2M	T2M_MAX	T2M_MIN	T2M_RANGE	TQV	TROPPB	TROPQ	TROPT	T2MWET	WD2M	WS2M	WS2M_MAX	WS2M_MIN	WS10M	WS10M_MAX	WS10M_MIN	WS50M	WS50M_MAX	WS50M_MIN
34.5	-22.5	2023	1	0.03	0.03	5.19	0.64	0	0.72	0.13	79.52	67.91	87.81	1.34	16.31	6.31	0	18.23	18.35	18.16	1.4	0	0	-6.33	1.39	0.05	69.12	7.34	1.23	102.31	0	16.39	16.67	15.95	0.72	13.81	22.22	0.02	-59.93	13.56	347.7	5.92	8.39	3.96	6.74	9.81	4.36	7.25	10.8	4.54
34.5	-17.5	2023	1	0.08	0.07	4.7	0.58	0	0.68	0.12	83.52	61.14	99.5	2.69	18.02	8.02	0	19.55	19.57	19.53	3.32	0	0	-3.66	2.2	2.95	76.75	9.05	1.22	102.08	0	17.55	19.89	16.16	3.73	19.16	21.24	0.02	-61.44	15.49	319.6	7.25	10.16	4.49	8.42	12.28	4.94	9.32	14.47	5.13
35.5	-22.5	2023	1	0.03	0.03	5.48	0.6	0	0.71	0.13	79.38	72.99	83.94	1.41	15.72	5.72	0	18.41	18.49	18.34	2.79	0	0	-5.94	1.31	0.03	68.92	7.01	1.23	102.31	0	15.79	16.03	15.41	0.62	13.33	23.68	0.02	-58.7	12.96	335.1	5.91	8.03	3.71	6.69	9.34	4.04	7.18	10.26	4.17
35.5	-17.5	2023	1	0.08	0.07	5	0.57	0	0.69	0.12	85	64.33	99.76	3.01	16.71	6.71	0	18.49	18.54	18.46	3.78	0	0	-4.74	1.9	2.39	77.1	8.37	1.23	102.06	0	16.29	18.28	15.14	3.14	17.95	22.4	0.02	-60.06	14.27	322.1	6.6	9.78	3.81	7.6	11.6	4.15	8.34	12.91	4.29
36.5	-22.5	2023	1	0.04	0.03	5.77	0.53	0	0.71	0.13	79.78	78.76	80.5	1.92	14.9	4.9	0	17.82	17.88	17.77	4.01	0	0	-5.56	1.27	0.06	68.64	6.62	1.24	102.3	0	15.02	15.31	14.5	0.81	12.83	24.88	0.02	-57.63	12.17	324.3	6.08	8.3	3.37	6.91	9.67	3.64	7.44	10.64	3.76
36.5	-17.5	2023	1	0.06	0.05	5.31	0.66	0	0.7	0.13	75.71	42.23	99.62	2.19	15.23	5.23	0	18.14	18.19	18.04	4.38	0	0	-5.04	1.7	1.58	75.97	7.65	1.23	102.05	0	15.32	15.87	14.6	1.27	16.55	23.49	0.02	-58.68	13.21	319.3	6.31	8.73	3.03	7.2	10.25	3.25	7.79	11.21	3.36
37.5	-22.5	2023	1	0.04	0.03	3.64	0.58	0	0.7	0.13	78.11	68.83	83.67	1.56	14.26	4.26	0	17.21	17.23	17.2	4.96	0	0	-4.96	1.25	0.09	68.94	6.37	1.24	102.26	0	14.33	14.67	13.85	0.82	12.47	25.56	0.02	-57.21	11.53	315	6.21	8.52	3.26	7.07	9.94	3.52	7.64	10.96	3.66
37.5	-17.5	2023	1	0.06	0.05	5.65	0.64	0	0.7	0.13	71.99	37.95	96.31	2.35	14.34	4.34	0	16.97	17	16.93	5.2	0	0	-4.42	1.51	0.93	74.89	7.09	1.24	102.02	0	14.41	14.92	13.76	1.16	15.34	24.81	0.02	-56.88	12.2	310.5	6.16	8	3.14	7.03	9.3	3.37	7.62	10.16	3.51
38.5	-22.5	2023	1	0.04	0.04	3.86	0.6	0	0.7	0.13	71.2	59.13	78.44	1.79	13.82	3.82	0	16.86	16.88	16.81	5.72	0	0	-4.4	1.23	0.14	69.84	6.23	1.24	102.2	0	13.82	14.16	13.48	0.68	12.33	25.1	0.03	-57.7	11.13	307.4	6.46	8.81	3.78	7.37	10.3	4.11	7.98	11.35	4.32
38.5	-17.5	2023	1	0.05	0.04	6.02	0.64	0	0.69	0.13	69.39	39.16	90.99	2.52	13.79	3.79	0	16.54	16.56	16.53	5.99	0	0	-3.93	1.4	1.66	74.43	6.8	1.24	101.97	0	13.91	14.28	13.3	0.98	14.37	25.81	0.02	-55.43	11.67	303.3	6.34	7.44	3.57	7.24	8.6	3.88	7.85	9.4	4.06
39.5	-22.5	2023	1	0.04	0.04	4.11	0.59	0	0.69	0.14	68.85	50.33	79.96	1.9	13.07	3.07	0	16.3	16.35	16.17	6.25	0	0	-3.69	1.2	0.56	70.94	6.11	1.24	102.12	0	13.24	13.53	12.61	0.92	12.33	24.75	0.03	-57.7	10.67	300.4	6.68	8.63	4.54	7.63	10.06	5.01	8.27	11.06	5.31
39.5	-17.5	2023	1	0.05	0.04	6.4	0.62	0	0.69	0.13	67.46	42.53	85.27	2.97	13.5	3.5	0	15.97	15.99	15.95	6.81	0	0	-3.09	1.28	0.67	73.23	6.48	1.24	101.9	0	13.47	14.01	12.99	1.02	13.5	26.75	0.02	-53.84	11.13	294.4	6.65	7.84	4.3	7.62	9.11	4.73	8.3	10.04	5.01
40.5	-22.5	2023	1	0.04	0.04	4.39	0.6	0	0.69	0.14	67.07	44.74	80.47	1.48	12.6	2.6	0	15.41	15.48	15.24	6.66	0	0	-2.91	1.18	0.21	70.73	5.89	1.25	102.02	0	12.71	12.98	12.22	0.76	12.04	24.97	0.03	-57.04	10.13	293.5	6.96	8.51	5.34	8	9.93	5.98	8.72	10.97	6.41
40.5	-17.5	2023	1	0.05	0.04	6.82	0.58	0	0.69	0.14	68.53	47.56	83.5	2.8	13.36	3.36	0	15.44	15.47	15.4	7.61	0	0	-2.7	1.16	0.11	72.21	6.24	1.24	101.8	0	13.12	13.95	12.77	1.18	12.57	28.13	0.03	-53.01	10.69	289.5	7.12	8.32	4.9	8.22	9.71	5.45	9	10.74	5.84
41.5	-22.5	2023	1	0.04	0.04	4.7	0.6	0	0.69	0.15	70.53	48.17	83.94	1.34	12.34	2.34	0	15.04	15.14	14.82	7.22	0	0	-2.21	1.15	0.18	71.1	5.77	1.25	101.91	0	12.32	12.71	11.96	0.75	11.91	28.08	0.03	-54.55	9.79	287	7.53	9.91	5.88	8.71	11.79	6.63	9.55	13.31	7.16
41.5	-17.5	2023	1	0.05	0.04	4.94	0.58	0	0.68	0.13	67.25	40.12	83.54	2.29	12.75	2.75	0	15.03	15.05	14.98	8	0	0	-2.41	1.07	0.28	72.76	6.12	1.24	101.69	0	12.7	13.1	12.41	0.69	12.41	28.5	0.03	-52.91	10.33	286.8	7.37	8.48	5.41	8.52	9.92	6.07	9.36	11	6.52
42.5	-22.5	2023	1	0.06	0.05	5.05	0.57	0	0.69	0.15	73.8	53.67	85.88	2.01	11.9	1.9	0	14.73	14.81	14.52	7.51	0	0	-1.56	1.15	0.72	72.25	5.71	1.25	101.77	0	11.89	12.48	11.32	1.16	12.14	27.98	0.02	-55.07	9.48	282	8.01	11.25	6.19	9.31	13.54	7.01	10.26	15.52	7.58
42.5	-17.5	2023	1	0.05	0.04	5.31	0.56	0	0.67	0.13	67.53	39.69	84.24	3.15	12.55	2.55	0	14.74	14.76	14.7	8.58	0	0	-2.26	1.01	0.27	72.47	5.98	1.24	101.57	0	12.42	12.97	12.13	0.84	12.1	28.79	0.03	-52.6	10.03	284.7	7.77	9.19	6.07	9.03	10.83	6.89	9.94	12.1	7.43
43.5	-22.5	2023	1	0.06	0.05	5.45	0.54	0	0.68	0.15	78.99	58.18	91.48	2.95	11.46	1.46	0	14.15	14.23	13.99	7.63	0	0	-0.92	1.18	2.65	72.32	5.58	1.25	101.63	0	11.47	11.94	10.98	0.96	12.21	27.97	0.03	-55.59	9.07	277.2	8.38	12.11	6.2	9.79	14.67	7.02	10.86	16.93	7.59
43.5	-17.5	2023	1	0.05	0.04	5.72	0.49	0	0.67	0.14	76.22	56.61	87.98	3.92	12.12	2.12	0	14.1	14.12	14.06	9.45	0	0	-2.12	0.97	0.27	71.8	5.8	1.24	101.42	0	12.08	12.53	11.72	0.81	11.37	29.2	0.02	-52.27	9.62	282.5	8.43	9.8	6.74	9.89	11.66	7.73	11	13.11	8.42
34.5	-22.5	2023	2	0.02	0.02	5.15	0.65	0	0.7	0.13	79.41	74.38	82.99	0.47	16.4	6.4	0	18.12	18.15	18.11	-1	0	0	-3.3	1.54	0	66.3	7.08	1.24	102.86	0	16.36	16.73	16.08	0.65	16.22	18.94	0.01	-65.82	13.23	16.9	3.38	3.97	2.69	3.69	4.36	2.9	3.83	4.51	3.02
34.5	-17.5	2023	2	0.03	0.03	4.69	0.62	0	0.7	0.13	63.21	41.59	78.66	1.19	16.72	6.72	0	19.49	19.52	19.48	-2.81	0	0	-4.27	1.63	0	70.51	7.68	1.23	102.75	0	16.75	17.26	16.18	1.08	15.76	21.63	0.02	-61.15	14.07	33.4	4.65	5.34	4.07	5.15	5.99	4.45	5.41	6.35	4.59
35.5	-22.5	2023	2	0.02	0.02	5.42	0.63	0	0.7	0.14	88.99	87.85	89.81	0.4	15.78	5.78	0	18.28	18.33	18.26	1.08	0	0	-2.05	1.57	0	64.69	6.68	1.24	102.88	0	15.74	16.37	15.19	1.18	15.75	18.63	0.01	-66.76	12.43	332.4	2.25	3.68	0.39	2.42	4	0.41	2.49	4.13	0.4
35.5	-17.5	2023	2	0.03	0.03	4.98	0.64	0	0.7	0.14	65.16	39.95	83.17	1.15	15.7	5.7	0	18.41	18.45	18.33	-1.68	0	0	-3.37	1.57	0	69.56	7.11	1.24	102.8	0	15.67	16.3	15.09	1.21	16.07	21.35	0.02	-61.77	12.91	26.5	3.51	4	2.99	3.82	4.39	3.22	3.97	4.61	3.31
36.5	-22.5	2023	2	0.04	0.03	5.72	0.62	0	0.69	0.15	93.64	95.54	92.29	0.41	15.27	5.27	0	17.74	17.77	17.72	3.34	0	0	-0.29	1.67	0.15	69.04	7	1.24	102.85	0	15.46	16.14	14.4	1.74	17.06	18.44	0.01	-67.29	12.64	275.1	3.28	4.69	2.33	3.58	5.26	2.49	3.77	5.65	2.61
36.5	-17.5	2023	2	0.02	0.01	5.29	0.64	0	0.7	0.16	68.85	52.6	80.46	0.75	15.11	5.11	0	17.94	18.03	17.9	0.44	0	0	-2.08	1.58	0	63.97	6.32	1.24	102.82	0	15.07	15.84	14.37	1.47	15.66	21.31	0.02	-62.02	11.7	348.1	2.07	2.94	1.39	2.2	3.15	1.45	2.27	3.24	1.51
37.5	-22.5	2023	2	0.04	0.03	3.63	0.54	0	0.68	0.13	91.85	93.5	90.86	0.54	15.12	5.12	0	17.19	17.2	17.16	5.3	0	0	1.11	1.88	0.47	73.29	7.45	1.24	102.78	0	15.46	16.32	13.92	2.4	19.23	18.18	0.01	-67.6	13.09	258.2	4.87	6.24	3.55	5.48	7.2	3.86	5.91	7.94	4.04
37.5	-17.5	2023	2	0.02	0.01	5.62	0.63	0	0.69	0.17	67.74	58.89	74.05	0.59	14.61	4.61	0	16.87	16.93	16.8	2.76	0	0	-0.49	1.61	0	66.34	6.37	1.24	102.81	0	14.65	15.57	13.64	1.93	16.33	21.4	0.02	-62.19	11.55	280.2	2.72	3.4	2.05	2.93	3.72	2.17	3.08	3.96	2.27
38.5	-22.5	2023	2	0.09	0.07	3.84	0.45	0	0.65	0.12	96.52	96.87	96.31	0.99	14.93	4.93	0	16.76	16.8	16.74	6.85	0	0	2.41	2.07	0.58	76.35	7.75	1.24	102.67	0	15.38	16.18	13.68	2.5	20.86	18.1	0.01	-67.62	13.32	250.6	6.34	7.56	4.92	7.31	8.88	5.55	8.04	9.96	5.91
38.5	-17.5	2023	2	0.05	0.04	5.98	0.54	0	0.68	0.16	82.78	86.82	79.9	1.13	14.56	4.56	0	16.56	16.58	16.53	4.65	0	0	0.91	1.69	0.02	70.9	6.83	1.24	102.74	0	14.69	15.87	13.25	2.62	17.62	21.5	0.02	-62.11	12.09	259	4.32	5.24	3.17	4.81	5.94	3.42	5.16	6.44	3.6
39.5	-22.5	2023	2	0.09	0.07	4.08	0.33	0	0.64	0.12	99.02	98.03	99.62	3.35	14.67	4.67	0	16.06	16.15	15.99	8.51	0	0	4.01	2.26	1.65	80.93	8.25	1.24	102.51	0	15.23	15.92	13.43	2.49	22.66	17.96	0.01	-67.8	13.62	244.8	8.01	9.2	6.39	9.46	10.9	7.48	10.71	12.34	8.38
